P3 ID,P3 Amp,P3 Date/Time,,P1 ID,P1 Amp,P1 Date/Time,,P2 ID,P2 Amp,P2 Date/Time,,P1 Peak,P2 Peak,P3 Peak
0,9,14:37:35,,0,10.1,14:37:36,,0,0.3,14:37:33,,18,25.1,42.4
1,8.8,14:37:55,,1,10,14:37:56,,1,0.3,14:37:53,,4140,5773,9752
2,8.3,14:38:15,,2,10.1,14:38:16,,2,0.2,14:38:13,,,,
3,8.5,14:38:35,,3,10,14:38:36,,3,3.6,14:38:33,,,,
4,9,14:38:55,,4,10,14:38:56,,4,3.6,14:38:53,,,,
5,8.9,14:39:15,,5,10,14:39:16,,5,0.3,14:39:13,,,,
6,8.9,14:39:35,,6,10.1,14:39:36,,6,0.3,14:39:33,,,,
7,8.8,14:39:55,,7,10,14:39:56,,7,0.3,14:39:53,,,,
8,9,14:40:15,,8,10,14:40:16,,8,0.2,14:40:13,,,,
9,8.8,14:40:35,,9,10,14:40:36,,9,4.6,14:40:33,,,,
10,9,14:40:55,,10,10,14:40:56,,10,0.3,14:40:53,,,,
11,8.2,14:41:15,,11,10,14:41:16,,11,0.3,14:41:13,,,,
12,9.5,14:41:35,,12,10.1,14:41:36,,12,0.3,14:41:33,,,,
13,8,14:41:55,,13,10,14:41:56,,13,0.3,14:41:53,,,,
14,7.8,14:42:15,,14,10.1,14:42:16,,14,0.3,14:42:13,,,,
15,8.1,14:42:35,,15,10.1,14:42:36,,15,0.3,14:42:33,,,,
16,7.7,14:42:55,,16,10.1,14:42:56,,16,0.3,14:42:53,,,,
17,8.4,14:43:15,,17,10.1,14:43:16,,17,0.2,14:43:13,,,,
18,8.3,14:43:35,,18,10.1,14:43:36,,18,0.3,14:43:33,,,,
19,7.9,14:43:55,,19,10,14:43:56,,19,0.3,14:43:53,,,,
20,8.2,14:44:15,,20,10.1,14:44:16,,20,0.3,14:44:13,,,,
21,7.9,14:44:35,,21,10.1,14:44:36,,21,0.3,14:44:33,,,,
22,7.6,14:44:55,,22,10.1,14:44:56,,22,3.6,14:44:53,,,,
23,7.6,14:45:15,,23,10,14:45:16,,23,0.3,14:45:13,,,,
24,7.8,14:45:35,,24,10.1,14:45:36,,24,0.2,14:45:33,,,,
25,8.3,14:45:55,,25,10,14:45:56,,25,0.2,14:45:53,,,,
26,8.6,14:46:15,,26,10.1,14:46:16,,26,0.3,14:46:13,,,,
27,8,14:46:35,,27,10.1,14:46:36,,27,3.8,14:46:33,,,,
28,8.4,14:46:55,,28,10.1,14:46:56,,28,3.9,14:46:53,,,,
29,8.4,14:47:15,,29,10.1,14:47:16,,29,3.9,14:47:13,,,,
