LCV: Logger Memory; Ph3.  Sample Interval Is 20 Secs.  Logging Started At: 14:37, 2026/02/02

Samp #	Amps (Amps)	Date Time
0	  9.0	02/02/26 14:37:35.0
1	  8.8	02/02/26 14:37:55.0
2	  8.3	02/02/26 14:38:15.0
3	  8.5	02/02/26 14:38:35.0
4	  9.0	02/02/26 14:38:55.0
5	  8.9	02/02/26 14:39:15.0
6	  8.9	02/02/26 14:39:35.0
7	  8.8	02/02/26 14:39:55.0
8	  9.0	02/02/26 14:40:15.0
9	  8.8	02/02/26 14:40:35.0
10	  9.0	02/02/26 14:40:55.0
11	  8.2	02/02/26 14:41:15.0
12	  9.5	02/02/26 14:41:35.0
13	  8.0	02/02/26 14:41:55.0
14	  7.8	02/02/26 14:42:15.0
15	  8.1	02/02/26 14:42:35.0
16	  7.7	02/02/26 14:42:55.0
17	  8.4	02/02/26 14:43:15.0
18	  8.3	02/02/26 14:43:35.0
19	  7.9	02/02/26 14:43:55.0
20	  8.2	02/02/26 14:44:15.0
21	  7.9	02/02/26 14:44:35.0
22	  7.6	02/02/26 14:44:55.0
23	  7.6	02/02/26 14:45:15.0
24	  7.8	02/02/26 14:45:35.0
25	  8.3	02/02/26 14:45:55.0
26	  8.6	02/02/26 14:46:15.0
27	  8.0	02/02/26 14:46:35.0
28	  8.4	02/02/26 14:46:55.0
29	  8.4	02/02/26 14:47:15.0
30	 13.4	02/02/26 14:47:35.0
31	  8.2	02/02/26 14:47:55.0
32	  8.4	02/02/26 14:48:15.0
33	  8.5	02/02/26 14:48:35.0
34	  8.7	02/02/26 14:48:55.0
35	  7.6	02/02/26 14:49:15.0
36	  8.2	02/02/26 14:49:35.0
37	  6.6	02/02/26 14:49:55.0
38	  6.4	02/02/26 14:50:15.0
39	  7.8	02/02/26 14:50:35.0
40	  7.8	02/02/26 14:50:55.0
41	  7.7	02/02/26 14:51:15.0
42	  7.9	02/02/26 14:51:35.0
43	  6.8	02/02/26 14:51:55.0
44	  7.2	02/02/26 14:52:15.0
45	  6.4	02/02/26 14:52:35.0
46	  7.1	02/02/26 14:52:55.0
47	  6.4	02/02/26 14:53:15.0
48	  6.6	02/02/26 14:53:35.0
49	  6.2	02/02/26 14:53:55.0
50	 11.6	02/02/26 14:54:15.0
51	  7.9	02/02/26 14:54:35.0
52	  7.8	02/02/26 14:54:55.0
53	  8.3	02/02/26 14:55:15.0
54	  7.4	02/02/26 14:55:35.0
55	 13.0	02/02/26 14:55:55.0
56	  6.8	02/02/26 14:56:15.0
57	  9.0	02/02/26 14:56:35.0
58	  9.7	02/02/26 14:56:55.0
59	  9.5	02/02/26 14:57:15.0
60	  9.0	02/02/26 14:57:35.0
61	  9.5	02/02/26 14:57:55.0
62	  9.6	02/02/26 14:58:15.0
63	  9.4	02/02/26 14:58:35.0
64	 10.5	02/02/26 14:58:55.0
65	 10.6	02/02/26 14:59:15.0
66	 20.8	02/02/26 14:59:35.0
67	 20.3	02/02/26 14:59:55.0
68	 20.5	02/02/26 15:00:15.0
69	 20.5	02/02/26 15:00:35.0
70	 20.5	02/02/26 15:00:55.0
71	 20.7	02/02/26 15:01:15.0
72	 10.7	02/02/26 15:01:35.0
73	 10.7	02/02/26 15:01:55.0
74	 10.6	02/02/26 15:02:15.0
75	 10.7	02/02/26 15:02:35.0
76	 10.1	02/02/26 15:02:55.0
77	  9.8	02/02/26 15:03:15.0
78	 10.0	02/02/26 15:03:35.0
79	 10.1	02/02/26 15:03:55.0
80	 10.1	02/02/26 15:04:15.0
81	  9.9	02/02/26 15:04:35.0
82	  9.9	02/02/26 15:04:55.0
83	 10.1	02/02/26 15:05:15.0
84	 10.1	02/02/26 15:05:35.0
85	 10.1	02/02/26 15:05:55.0
